Program,Number of seeded faults,Number of test cases,Number of detected fault,Coverage rate,Number of test cases(delete 20%),Number of detected fault(delete 20%),Coverage rate,Number of test cases(delete 60%),Number of detected fault(delete 60%),Coverage rate,Number of test cases(delete 60%),Number of detected fault(delete 60%),Coverage rate,Number of test cases(delete 80%),Number of detected fault(delete 80%),Coverage rate
Program2(path),10,144,6,100.0%,115,6,80.0%,86,6,60.0%,57,6,40.0%,28,6,20.0%
Program2(multiple),10,16,10,100.0%,12,8,80.0%,8,8,60.0%,4,3,40.0%,1,1,20.0%
Program2(path),10,144,5,100.0%,115,5,80.0%,86,5,60.0%,57,5,40.0%,28,5,20.0%
Program2(multiple),10,16,10,100.0%,12,7,80.0%,8,7,60.0%,4,4,40.0%,1,2,20.0%
Program2(path),10,144,6,100.0%,115,6,80.0%,86,6,60.0%,57,6,40.0%,28,6,20.0%
Program2(multiple),10,16,10,100.0%,12,10,80.0%,8,9,60.0%,4,8,40.0%,1,3,20.0%
Program2(path),10,144,8,100.0%,115,8,80.0%,86,8,60.0%,57,8,40.0%,28,8,20.0%
Program2(multiple),10,16,10,100.0%,12,8,80.0%,8,6,60.0%,4,4,40.0%,1,2,20.0%
Program2(path),10,144,5,100.0%,115,5,80.0%,86,5,60.0%,57,5,40.0%,28,5,20.0%
Program2(multiple),10,16,10,100.0%,12,10,80.0%,8,9,60.0%,4,9,40.0%,1,4,20.0%
